TCGA-A7-A13D-01A-13R-A12P-07	TCGA-E9-A1RH-11A-34R-A169-07
GABARAP	25	14
GABARAPL1	2084	10286
GABARAPL2	2816	5613
GABBR1	1058	1367
GABBR2	557	1
GABPA	2125	3278
GABPB1	1212	803
GABPB2	1086	1527
GABRA1	0	0
GABRA2	0	247
GABRA3	100	6
GABRA4	0	1
GABRA5	1	0
GABRA6	0	0
GABRB1	0	1
GABRB2	38	174
GABRB3	3	153
GABRD	438	25
GABRE	2451	8438
GABRG1	0	19
GABRG2	0	0
GABRG3	11	1
GABRP	49381	3483
GABRQ	304	0
GABRR1	9	6
GABRR2	38	58
GABRR3	0	0
GAD1	15	5
GAD2	1	0
GADD45A	1101	1230
GADD45B	3099	1430
GADD45G	159	92
GADD45GIP1	1888	1152
GADL1	0	7
GAGE10	3	1
GAGE12H	0	0
GAGE12J	0	0
GAK	3910	2989
GAL	1652	12
GAL3ST1	21	27
GAL3ST2	18	0
GAL3ST3	0	0
GAL3ST4	609	637
GALC	907	2584
GALE	1457	327
GALK1	2797	453
GALK2	526	811
GALM	205	1245
GALNS	2675	782
GALNT1	5306	4601
GALNT10	3958	4310
GALNT11	2472	3205
GALNT12	67	530
GALNT13	642	209
GALNT14	1773	121
GALNT15	210	8823
GALNT16	181	3868
GALNT18	1665	573
GALNT2	4467	3049
GALNT3	4979	550
GALNT4	3	7
GALNT5	556	199
GALNT6	3826	1010
GALNT7	1908	1022
GALNT8	1	298
GALNT9	2	1
GALNTL5	0	0
GALNTL6	1	3
GALP	0	1
GALR1	0	35
GALR2	0	2
GALR3	1	0
GALT	544	688
GAMT	234	681
GAN	1403	1074
GANAB	34862	22021
GANC	353	1106
GAP43	19	40
GAPDH	247246	22483
GAPDHS	0	1
GAPT	21	75
GAPVD1	2719	4015
GAR1	1877	542
GARNL3	399	489
GART	9088	3790
GAS1	1604	7713
GAS2	48	68
GAS2L1	2797	1595
GAS2L2	1	159
GAS2L3	656	177
GAS6	4778	7823
GAS7	991	7992
GAS8	555	463
GAST	0	0
GATA1	2	5
GATA2	88	706
GATA3	3444	2236
GATA4	1	3
GATA5	392	1
GATA6	691	234
GATAD1	1265	3430
GATAD2A	5243	2681
GATAD2B	5162	2953
GATB	455	1641
GATC	790	972
GATM	443	1636
GBA2	3387	2210
GBA3	0	5
GBE1	3049	12018
GBF1	5696	5339
GBGT1	249	324
GBP1	3045	1878
GBP2	2896	8836
GBP3	1742	1008
GBP4	595	3799
GBP5	143	208
GBP6	14	12
GBP7	3	6
GBX1	0	0
GBX2	57	0
GC	0	1
GCA	1477	896
GCAT	1845	329
GCC1	2312	1639
GCC2	2150	2716
GCDH	696	1870
GCFC2	1264	1470
GCG	0	0
GCGR	2	0
GCH1	536	292
GCHFR	4	8
GCK	6	35
GCKR	3	6
GCLC	918	3212
GCLM	2204	1979
GCM1	0	3
GCM2	3	0
GCNT1	3039	706
GCNT2	4445	327
GCNT3	4	4
GCNT4	41	340
GCNT7	4	10
GCOM1	137	442
GCSAM	66	43
GCSAML	2	104
GCSH	114	103
GDA	15	3
GDAP1	298	476
GDAP1L1	4	7
GDAP2	1115	1031
GDE1	2567	4718
GDF1	1	0
GDF10	2	3178
GDF11	505	373
GDF15	127	71
GDF2	0	0
GDF3	9	7
GDF5	119	83
GDF6	48	73
GDF7	12	29
GDF9	17	44
GDI1	7087	5499
GDI2	38501	17897
GDNF	196	4
GDPD1	157	108
GDPD2	12	2
GDPD3	35	87
GDPD4	0	11
GDPD5	995	4969
GDPGP1	117	121
GEM	812	2375
GEMIN2	449	412
GEMIN4	2080	1326
GEMIN5	1958	2258
GEMIN6	729	643
GEMIN7	37	10
GEMIN8	935	931
GEN1	1861	395
GET4	33	11
GFAP	7	129
GFER	217	138
GFI1	18	47
GFI1B	4	15
GFM1	3441	3592
GFM2	610	1116
GFOD1	2539	2287
GFOD2	2007	1256
GFPT1	12196	11743
GFPT2	757	2260
GFRA1	70	12462
GFRA2	23	309
GFRA3	186	39
GFRA4	0	0
GFRAL	0	6
GFY	6	0
GGA1	3654	1581
GGA2	6185	4626
GGA3	3551	1727
GGACT	549	280
GGCT	3378	962
GGCX	5691	3780
GGH	3315	496
GGN	31	4
GGNBP2	2968	4645
GGPS1	1351	886
GGT1	157	5
GGT5	1117	2491
GGT6	2058	244
GGT7	1375	839
GGTLC1	3	1
GGTLC2	9	0
GH1	0	1
GH2	1	1
GHDC	2466	1424
GHITM	6687	14024
GHR	379	30326
GHRH	0	0
GHRHR	8	3
GHRL	12	13
GHSR	1	0
GID4	736	2244
GID8	6912	3618
GIGYF1	3857	2802
GIGYF2	3322	5108
GIMAP1	59	1227
GIMAP1-GIMAP5	0	0
GIMAP2	130	835
GIMAP4	429	4921
GIMAP5	2	169
GIMAP6	372	5704
GIMAP7	87	2491
GIMAP8	293	4706
GIMD1	0	0
GIN1	150	451
GINM1	1171	5067
GINS1	1838	106
GINS2	630	86
GINS3	514	414
GINS4	504	58
GIP	1	0
GIPC1	8804	2530
GIPC2	13	755
GIPC3	529	511
GIPR	33	71
GIT1	4380	2912
GIT2	568	1197
GJA1	11272	8997
GJA10	0	0
GJA3	5	1
GJA4	549	1539
GJA5	563	950
GJA8	4	0
GJA9	3	2
GJB1	1	36
GJB2	2585	58
GJB3	2423	20
GJB4	9	1
GJB5	1026	44
GJB6	123	0
GJB7	13	1
GJC1	871	1292
GJC2	104	146
GJC3	201	79
GJD2	0	0
GJD3	21	89
GJD4	0	1
GK	170	158
GK2	0	0
GK5	1841	1359
GKAP1	85	830
GKN1	0	4
GKN2	1	0
GLA	1389	989
GLB1	5484	2450
GLB1L	927	828
GLB1L2	814	313
GLB1L3	4	96
GLCCI1	590	1560
GLCE	1347	2404
GLDC	139	38
GLDN	9	1647
GLE1	1704	2040
GLG1	11309	17787
GLI1	20	121
GLI2	196	333
GLI3	2795	2387
GLI4	417	344
GLIPR1	1283	1253
GLIPR1L1	15	45
GLIPR1L2	9	253
GLIPR2	4173	3218
GLIS1	15	88
GLIS2	2524	1251
GLIS3	646	207
GLMN	434	292
GLMP	6381	1561
GLO1	5041	6421
GLOD4	2001	2906
GLOD5	11	1
GLP1R	136	80
GLP2R	4	428
GLRA1	0	2
GLRA2	2	0
GLRA3	20	34
GLRB	284	950
GLRX	797	1722
GLRX2	919	1052
GLRX3	4743	2277
GLRX5	2160	2424
GLS	26419	4231
GLS2	3	3
GLT1D1	13	11
GLT6D1	0	0
GLT8D1	2211	3046
GLT8D2	406	1866
GLTP	2571	2445
GLTPD2	10	9
GLUD1	4561	12468
GLUD2	157	272
GLUL	13454	167618
GLYAT	0	2734
GLYATL1	11	29
GLYATL2	502	101
GLYATL3	0	0
GLYCTK	155	897
GLYR1	4388	4833
GM2A	3731	5903
GMCL1	1537	2069
GMDS	3528	633
GMEB1	1084	744
GMEB2	3054	758
GMFB	2945	4057
GMFG	380	1288
GMIP	1101	470
GML	1	0
GMNC	1	5
GMNN	544	487
GMPPA	2693	1210
GMPPB	1442	578
GMPR	596	347
GMPR2	1639	2989
GMPS	7667	3384
GNA11	2584	2710
GNA12	9219	6149
GNA13	12891	4830
GNA14	65	250
GNA15	1330	261
GNAI1	1864	10705
GNAI2	12710	20623
GNAI3	8434	5054
GNAL	102	825
GNAO1	31	207
GNAQ	3005	9501
GNAS	226949	57263
GNAT1	3	1
GNAT2	18	13
GNAT3	0	2
GNAZ	717	826
GNB1	32629	22572
GNB1L	225	88
GNB2	19631	6854
GNB3	82	33
GNB4	2804	2053
GNB5	806	735
GNE	1806	2903
GNG10	4	5
GNG11	1051	8712
GNG12	6908	15383
GNG13	16	0
GNG2	593	8609
GNG3	16	3
GNG4	133	24
GNG5	216	85
GNG7	557	774
GNG8	6	0
GNGT1	0	0
GNGT2	10	51
GNL1	2288	3237
GNL2	6044	2627
GNL3	6200	2736
GNL3L	3215	1542
GNLY	15	252
GNMT	4	19
GNPAT	3490	4258
GNPDA1	2213	2380
GNPDA2	574	1399
GNPNAT1	997	647
GNPTAB	3440	3166
GNPTG	1749	2870
GNRH1	120	149
GNRH2	8	4
GNRHR	2	5
GNS	7586	29781
GOLGA1	2034	1890
GOLGA2	6118	4942
GOLGA3	5881	5360
GOLGA4	6640	12458
GOLGA5	2720	3007
GOLGA6A	1	0
GOLGA6B	2	0
GOLGA6C	2	0
GOLGA6D	1	0
GOLGA6L1	0	0
GOLGA6L2	0	0
GOLGA6L6	0	0
GOLGA6L9	122	39
GOLGA7	380	896
GOLGA7B	679	160
GOLGA8A	1125	1017
GOLGA8B	457	573
GOLGA8H	4	22
GOLGA8J	0	0
GOLGA8K	1	13
GOLGA8M	3	98
GOLGA8N	10	95
GOLGA8O	0	19
GOLGA8R	8	31
GOLGB1	12325	14095
GOLIM4	3294	5046
GOLM1	8217	3094
GOLPH3	12796	5848
GOLPH3L	4722	2465
GOLT1A	601	30
GOLT1B	3198	2634
GON4L	5139	2232
GOPC	2024	2717
GORAB	802	453
GORASP1	2296	2776
GORASP2	9243	4650
GOSR1	2626	2847
GOSR2	2296	2561
GOT1	1730	1362
GOT1L1	0	1
GOT2	4636	2429
GP1BA	16	27
GP1BB	0	0
GP2	35	32
GP5	1	4
GP6	47	3
GP9	2	0
GPA33	1	9
GPAA1	7442	4663
GPALPP1	772	1388
GPAM	1427	137085
GPANK1	760	742
GPAT2	9	73
GPATCH1	1551	727
GPATCH11	628	3766
GPATCH2	865	774
GPATCH2L	1554	2555
GPATCH3	761	558
GPATCH4	4897	1184
GPATCH8	2810	3319
GPBAR1	14	597
GPBP1	2865	6064
GPBP1L1	7951	6663
GPC1	5695	2439
GPC2	390	11
GPC3	261	23161
GPC4	4045	1988
GPC5	9	6
GPC6	675	3083
GPCPD1	1505	2865
GPD1	30	115213
GPD1L	1756	9988
GPD2	3265	2781
GPER1	217	1271
GPHA2	3	0
GPHB5	0	0
GPHN	329	1366
GPI	54118	19162
GPIHBP1	196	1400
GPKOW	1864	967
GPLD1	55	1319
GPM6A	0	223
GPM6B	563	955
GPN1	3468	1710
GPN2	1238	1414
GPN3	843	1793
GPNMB	17743	38073
GPR101	0	1
GPR107	8264	7475
GPR108	2389	3179
GPR119	0	0
GPR12	543	102
GPR132	219	107
GPR135	25	143
GPR137	947	960
GPR137B	922	1244
GPR137C	123	77
GPR139	0	5
GPR141	1	7
GPR142	6	3
GPR143	171	21
GPR146	70	479
GPR148	0	0
GPR149	0	0
GPR15	0	54
GPR150	3	31
GPR151	0	0
GPR152	0	1
GPR153	694	2118
GPR155	270	1114
GPR156	346	32
GPR157	1466	710
GPR158	537	70
GPR160	831	601
GPR161	1950	786
GPR162	92	104
GPR17	25	110
GPR171	3	33
GPR173	311	160
GPR174	4	58
GPR176	1077	860
GPR179	30	17
GPR18	4	12
GPR180	946	3111
GPR182	4	42
GPR183	142	167
GPR19	38	13
GPR20	1	12
GPR21	20	12
GPR22	1	2
GPR25	0	1
GPR26	95	14
GPR27	222	194
GPR3	138	1
GPR31	0	7
GPR32	0	0
GPR33	0	1
GPR34	33	2654
GPR35	102	15
GPR37	471	75
GPR37L1	102	11
GPR39	151	20
GPR4	621	607
GPR45	15	3
GPR50	0	7
GPR52	0	1
GPR55	28	37
GPR6	0	0
GPR61	8	10
GPR62	1	19
GPR63	203	46
GPR65	53	117
GPR68	527	223
GPR75	99	47
GPR78	13	3
GPR82	4	41
GPR83	15	6
GPR84	107	3
GPR85	160	88
GPR87	1	1
GPR88	7	82
GPR89A	244	154
GPRASP1	149	1567
GPRASP2	297	1373
GPRC5A	22128	1241
GPRC5B	5436	4365
GPRC5C	2591	851
GPRC5D	107	19
GPRC6A	0	0
GPRIN1	838	40
GPRIN2	908	44
GPRIN3	537	681
GPS1	13705	3844
GPS2	7	17
GPSM1	1727	276
GPSM2	1624	386
GPSM3	381	689
GPT	12	1326
GPT2	4755	11005
GPX1	6093	11585
GPX2	10	127
GPX3	438	88343
GPX4	7222	31399
GPX5	0	0
GPX6	0	0
GPX7	1344	386
GPX8	2959	2352
GRAMD1A	7937	1724
GRAMD1B	145	124
GRAMD1C	278	214
GRAMD4	1997	2143
GRAP	55	45
GRAP2	60	127
GRAPL	0	0
GRB10	8954	3980
GRB14	390	91
GRB2	14764	8130
GRB7	1957	241
GREB1	628	1274
GREB1L	233	596
GREM1	7490	800
GREM2	264	172
GRHL1	6484	863
GRHL2	3056	617
GRHL3	995	38
GRHPR	3832	4596
GRIA1	4	664
GRIA2	0	54
GRIA3	81	245
GRIA4	4	58
GRID1	170	216
GRID2	1	1
GRID2IP	52	18
GRIFIN	0	4
GRIK1	21	22
GRIK2	45	34
GRIK3	68	185
GRIK4	68	65
GRIK5	125	104
GRIN1	15	18
GRIN2A	7	241
GRIN2B	56	412
GRIN2C	50	40
GRIN2D	516	57
GRIN3A	28	50
GRIN3B	4	8
GRINA	15318	14984
GRIP1	1114	135
GRIP2	21	119
GRIPAP1	2535	1944
GRK1	12	1
GRK4	164	276
GRK5	2250	2295
GRK6	2025	926
GRK7	5	2
GRM1	4	12
GRM2	36	4
GRM3	0	1
GRM4	43	9
GRM5	1	0
GRM6	35	24
GRM7	0	26
GRM8	98	0
GRN	26330	13099
GRP	108	27
GRPEL1	2186	2350
GRPEL2	1353	1100
GRPR	1	124
GRSF1	6270	6346
GRTP1	895	247
GRWD1	3903	1361
GRXCR1	0	0
GRXCR2	1	1
GSAP	552	1191
GSC	6	153
GSC2	0	0
GSDMA	3	2
GSDMB	614	1551
GSDMC	1253	10
GSDMD	2324	1492
GSE1	5847	11103
GSG1	0	1
GSG1L	2	9
GSK3A	4081	1389
GSK3B	7196	4494
GSKIP	687	796
GSN	21706	273838
GSPT1	10410	9916
GSPT2	1006	872
GSR	2610	1867
GSS	3193	1854
GSTA1	491	29
GSTA2	8	0
GSTA3	2	0
GSTA4	845	1439
GSTA5	2	1
GSTCD	702	518
GSTK1	8345	8081
GSTM1	117	1392
GSTM2	29	888
GSTM3	1113	4153
GSTM4	156	1834
GSTM5	80	1481
GSTO1	3096	2742
GSTO2	85	264
GSTP1	10048	11060
GSTT2	2	5
GSTT2B	65	32
GSTZ1	766	1211
GSX1	0	0
GSX2	0	0
GTDC1	1760	2706
GTF2A1	1741	3691
GTF2A1L	0	3
GTF2A2	1550	1753
GTF2B	1253	1149
GTF2E1	1325	758
GTF2E2	1216	1985
GTF2F1	2662	3226
GTF2F2	1775	986
GTF2H1	2097	2809
GTF2H2	248	119
GTF2H2C	84	101
GTF2H3	1164	1470
GTF2H4	1	3
GTF2H5	1126	2242
GTF2I	2656	2625
GTF2IRD1	3126	743
GTF2IRD2	95	366
GTF2IRD2B	133	469
GTF3A	4986	6102
GTF3C1	6056	4126
GTF3C2	5519	1648
GTF3C3	2169	2160
GTF3C4	3156	2506
GTF3C5	4005	2007
GTF3C6	2019	1616
GTPBP1	3721	2430
GTPBP10	1110	1348
GTPBP2	2297	1776
GTPBP3	604	392
GTPBP4	11735	2574
GTPBP6	1975	1899
GTPBP8	480	484
GTSCR1	0	1
GTSE1	1340	54
GTSF1	7	10
GTSF1L	0	1
GUCA1A	1	0
GUCA1B	11	51
GUCA1C	0	0
GUCA2A	0	0
GUCA2B	0	0
GUCD1	7143	8003
GUCY1A2	539	1252
GUCY2C	103	29
GUCY2D	20	12
GUCY2F	1	0
GUF1	1125	1722
GUK1	9014	5911
GULP1	457	1973
GUSB	7383	3725
GXYLT1	1877	1621
GXYLT2	665	1432
GYG1	4350	2902
GYG2	772	47516
GYPA	0	1
GYPB	0	2
GYPC	678	7680
GYPE	8	104
GYS1	7550	6520
GYS2	0	48
GZF1	1544	971
GZMA	11	150
GZMB	31	57
GZMH	5	84
GZMK	1	24
GZMM	66	24
H6PD	4295	14812
HAAO	102	446
HABP2	0	1
HABP4	555	1530
HACD1	569	229
HACD2	10003	16908
HACD4	626	931
HACE1	426	1087
HACL1	803	1930
HADH	2473	20042
HADHA	17712	27384
HADHB	6897	15430
HAGH	1334	1662
HAGHL	399	22
HAL	4	11
HAMP	18	8
HAND1	0	0
HAND2	26	160
HAO1	12	0
HAO2	4	4
HAP1	43	48
HAPLN1	91	21
HAPLN2	2	10
HAPLN3	1246	472
HAPLN4	0	0
HARBI1	176	159
HARS2	1561	1760
HAS1	24	35
HAS2	238	399
HAS3	183	1403
HAT1	3100	2112
HAUS1	530	609
HAUS2	939	1230
HAUS3	552	868
HAUS4	213	639
HAUS5	1535	477
HAUS6	1877	1277
HAUS7	17	15
HAUS8	511	202
HAVCR1	1	3
HAVCR2	452	1016
HAX1	7518	4033
HBA1	2	14
HBA2	25	1095
HBB	169	8115
HBD	1	3
HBE1	0	0
HBEGF	783	355
HBG1	0	0
HBG2	0	0
HBM	0	0
HBP1	2751	5322
HBQ1	0	1
HBS1L	2874	3665
HBZ	0	0
HCAR1	780	2241
HCAR2	65	2412
HCAR3	15	122
HCCS	1624	1198
HCFC1	5998	3915
HCFC1R1	7093	1976
HCFC2	670	1880
HCK	631	673
HCLS1	679	1751
HCN1	24	73
HCN2	16	12
HCN3	201	128
HCN4	39	5
HCRT	3	0
HCRTR1	1	15
HCRTR2	3	8
HCST	21	26
HDAC1	6956	3117
HDAC10	18	15
HDAC11	1556	1071
HDAC2	7362	4051
HDAC3	3145	1895
HDAC4	1005	2145
HDAC5	4924	4281
HDAC6	2842	2867
HDAC7	4832	4600
HDAC8	637	395
HDAC9	1364	1590
HDC	10	146
HDDC2	1995	2766
HDDC3	125	312
HDGF	77508	7257
HDGFL1	5	0
HDHD2	33	24
HDHD3	1245	1122
HDLBP	34205	41088
HDX	328	261
HEATR1	6498	2488
HEATR3	1766	729
HEATR4	21	61
HEATR5A	1149	2077
HEATR5B	2646	3388
HEATR6	652	1059
HEATR9	4	1
HEBP1	2337	3375
HEBP2	5254	12583
HECA	2032	3651
HECTD1	6889	13614
HECTD2	324	815
HECTD3	4609	4719
HECTD4	2692	3991
HECW1	25	21
HECW2	948	1455
HEG1	4638	12387
HELB	212	102
HELLS	492	130
HELQ	274	798
HELT	0	0
HELZ	4709	4806
HELZ2	7208	1358
HEMGN	0	0
HEMK1	839	1048
HENMT1	1479	472
HEPACAM	0	1205
HEPACAM2	18	18
HEPH	5476	1087
HEPHL1	51	3
HEPN1	0	0
HERC1	3373	7628
HERC2	3604	5317
HERC3	3	19
HERC4	3196	2646
HERC5	930	806
HERC6	1558	930
HERPUD1	4097	6498
HERPUD2	1759	1856
HES1	2063	1147
HES2	428	22
HES3	0	0
HES4	296	60
HES5	6	9
HES6	623	51
HES7	2	0
HESX1	38	52
HEXA	1142	1277
HEXB	4318	7728
HEXIM1	1223	1906
HEXIM2	47	82
HEY1	564	797
HEY2	642	284
HEYL	1539	639
HFE	506	1430
HFM1	19	34
HGD	7	112
HGF	39	699
HGFAC	5	1
HGH1	3199	750
HGS	5383	2042
HGSNAT	3893	8728
HHAT	193	398
HHATL	2	96
HHEX	110	880
HHIP	3	121
HHIPL1	700	304
HHIPL2	110	8
HHLA1	1	0
HHLA2	4	1
HHLA3	444	356
HIBADH	2453	8876
HIBCH	1206	3824
HIC1	346	1379
HIC2	430	249
HID1	8241	1657
HIF1A	6977	4188
HIF1AN	2182	4053
HIF3A	107	1499
HIGD1A	1569	3159
HIGD1B	43	134
HIGD1C	0	0
HIGD2A	1688	2049
HIGD2B	2	0
HILPDA	1851	1360
HINFP	792	724
HINT1	6356	6751
HINT2	8	9
HINT3	2036	2784
HIP1	7855	5954
HIP1R	5259	1007
HIPK1	4295	6564
HIPK2	4435	12090
HIPK3	7743	15151
HIPK4	7	8
HIRA	583	488
HIRIP3	401	811
HIVEP1	2296	1716
HIVEP2	2166	3901
HIVEP3	1587	1108
HJURP	1512	35
HK1	21981	6149
HK2	18484	13776
HK3	121	200
HKDC1	5	1
HLA-A	34008	24389
HLA-B	50277	50263
HLA-C	25872	27662
HLA-DMA	751	5371
HLA-DMB	146	1306
HLA-DOA	53	1284
HLA-DOB	133	53
HLA-DPA1	933	7881
HLA-DPB1	649	6750
HLA-DQA1	370	3754
HLA-DQB1	456	2864
HLA-DQB2	188	212
HLA-DRA	2684	23326
HLA-DRB1	3003	17416
HLA-DRB5	771	9722
HLA-E	20095	57662
HLA-F	1894	1581
HLA-G	213	91
HLCS	3439	1779
HLF	424	5550
HLTF	1894	2006
HLX	129	202
HM13	15783	4558
HMBOX1	303	1404
HMBS	1149	550
HMCES	3721	4123
HMCN1	1397	4634
HMCN2	152	2645
HMG20A	1055	1556
HMG20B	4734	1872
HMGA1	9997	1133
HMGA2	64	4
HMGB1	14752	14221
HMGB2	8964	3095
HMGB3	6133	503
HMGB4	0	0
HMGCL	1056	2766
HMGCLL1	18	89
HMGCR	1540	1432
HMGCS1	4341	1470
HMGCS2	0	1841
HMGN1	10069	3506
HMGN2	9103	8013
HMGN3	2205	2949
HMGN4	3333	3667
HMGN5	229	447
HMGXB3	3485	1995
HMGXB4	1880	1800
HMHB1	1	1
HMMR	1063	52
HMOX1	2605	1760
HMOX2	5018	1834
HMSD	0	2
HMX1	196	5
HMX2	2	0
HMX3	10	0
HNF1A	9	1
HNF1B	0	0
HNF4A	1	1
HNF4G	242	17
HNMT	947	7043
HNRNPA0	7080	6106
HNRNPA1	24393	24077
HNRNPA1L2	135	168
HNRNPA2B1	39307	25439
HNRNPA3	19254	12926
HNRNPAB	1233	3049
HNRNPC	21347	16033
HNRNPCL1	1	1
HNRNPCL2	0	1
HNRNPCL3	0	0
HNRNPCL4	0	0
HNRNPD	12741	8328
HNRNPDL	10808	13733
HNRNPF	16874	7858
HNRNPH1	13202	12566
HNRNPH2	4462	4878
HNRNPH3	5484	6020
HNRNPK	28498	25358
HNRNPL	7820	5270
HNRNPLL	2531	1964
HNRNPM	15693	7996
HNRNPR	9350	6394
HNRNPU	43420	22393
HNRNPUL1	23080	11162
HNRNPUL2	5019	2922
HOGA1	0	383
HOMER1	538	309
HOMER2	2211	817
HOMER3	1877	302
HOMEZ	711	1055
HOOK1	2008	454
HOOK2	1609	4650
HOOK3	2882	5138
HOPX	615	182
HORMAD1	623	0
HORMAD2	1	6
HOXA1	166	62
HOXA10	55	882
HOXA11	42	45
HOXA13	26	50
HOXA2	32	92
HOXA3	252	281
HOXA4	24	26
HOXA5	114	928
HOXA6	18	106
HOXA7	7	177
HOXA9	37	438
HOXB1	0	1
HOXB13	261	2
HOXB2	282	609
HOXB3	432	1034
HOXB4	133	415
HOXB5	37	145
HOXB6	26	100
HOXB7	285	916
HOXB8	15	274
HOXB9	101	23
HOXC10	1107	403
HOXC11	388	15
HOXC12	760	5
HOXC13	1004	56
HOXC4	121	227
HOXC5	1	27
HOXC6	265	884
HOXC8	250	863
HOXC9	343	536
HOXD1	4	10
HOXD10	12	55
HOXD11	0	1
HOXD12	0	0
HOXD13	4	1
HOXD3	29	202
HOXD4	36	135
HOXD8	95	781
HOXD9	98	407
HP	1	557
HP1BP3	8176	12249
HPCA	30	2
HPCAL1	2018	1344
HPCAL4	30	5
HPD	6	52
HPDL	468	7
HPGD	40	739
HPGDS	8	280
HPN	3433	101
HPR	0	6
HPRT1	2684	722
HPS1	2236	2940
HPS3	1567	1008
HPS4	1206	2247
HPS5	1562	2225
HPS6	1005	854
HPSE	339	156
HPSE2	3	397
HPX	70	69
HR	420	745
HRAS	2060	811
HRC	22	226
HRCT1	278	593
HRG	1	0
HRH1	627	1466
HRH2	238	236
HRH3	2	0
HRH4	7	11
HRK	130	28
HRNR	11	18
HS1BP3	3408	1409
HS2ST1	2767	2290
HS3ST1	230	263
HS3ST2	13	124
HS3ST3A1	149	61
HS3ST3B1	226	178
HS3ST4	3	43
HS3ST5	3	1
HS3ST6	5	0
HS6ST1	5924	1248
HS6ST2	712	75
HS6ST3	137	44
HSBP1	4939	3640
HSBP1L1	1500	484
HSCB	444	417
HSD11B1	46	767
HSD11B1L	200	141
HSD11B2	1210	301
HSD17B1	394	40
HSD17B10	7945	2688
HSD17B11	364	3635
HSD17B12	1397	4037
HSD17B13	2	594
HSD17B14	1314	312
HSD17B2	20	32
HSD17B3	0	0
HSD17B4	2870	11738
HSD17B6	389	25
HSD17B7	560	197
HSD17B8	27	701
HSD3B1	0	2
HSD3B2	0	2
HSD3B7	748	1074
HSDL1	1158	1467
HSDL2	885	13974
HSF1	6827	3107
HSF2	647	953
HSF2BP	34	20
HSF4	439	472
HSF5	1	0
HSFX1	2	6
HSFX2	0	0
HSFY1	0	0
HSH2D	134	55
HSP90AA1	66021	53295
HSP90AB1	73457	56829
HSP90B1	78978	31026
HSPA12A	1088	5963
HSPA12B	241	2028
HSPA13	2526	1682
HSPA14	2095	473
HSPA1A	6043	9890
HSPA1B	5893	12162
HSPA1L	103	181
HSPA2	1601	722
HSPA4	6601	6954
HSPA4L	298	660
HSPA5	63454	19664
HSPA6	646	181
HSPA8	93397	42832
HSPA9	12302	14196
HSPB1	28551	10478
HSPB2	0	5
HSPB3	12	0
HSPB6	136	5883
HSPB7	1593	14418
HSPB8	286	3500
HSPB9	13	9
HSPBAP1	471	459
HSPBP1	3642	811
HSPD1	30528	15780
HSPE1-MOB4	0	0
HSPG2	36392	57772
HSPH1	8714	3537
HTATIP2	1977	1372
HTATSF1	6128	5814
HTN1	6585	0
HTN3	12	0
HTR1A	0	0
HTR1B	24	8
HTR1D	19	2
HTR1E	52	0
HTR1F	33	44
HTR2A	22	36
HTR2B	3	236
HTR2C	2	1
HTR3A	136	1
HTR3B	1	1
HTR3C	0	1
HTR3D	0	0
HTR3E	1	0
HTR4	0	9
HTR5A	0	0
HTR6	120	4
HTR7	4	11
HTRA1	11866	26086
HTRA2	1100	961
HTRA3	877	6150
HTRA4	6	3
HTT	5026	7536
HUNK	812	702
HUS1	995	721
HUS1B	12	4
HUWE1	40272	20114
HVCN1	82	302
HYAL1	52	578
HYAL2	1805	1869
HYAL3	340	63
HYAL4	20	1
HYDIN	173	14
HYI	0	0
HYKK	193	463
HYLS1	654	237
HYOU1	13452	3345
HYPK	10	40
IAH1	1651	2279
IAPP	0	0
IARS2	6491	12214
IBA57	434	678
IBSP	1105	0
IBTK	1766	4465
ICA1	1903	1066
ICA1L	33	455
ICAM1	9069	1147
ICAM2	212	744
ICAM3	10	26
ICAM4	0	0
ICAM5	316	25
ICE1	6867	3462
ICE2	958	3688
ICMT	5053	8174
ICOS	0	12
ICOSLG	135	26
ID1	287	2306
ID2	2841	2012
ID3	2436	2524
ID4	319	4208
IDE	2264	2366
IDH1	3782	14121
IDH2	14531	3621
IDH3A	685	1451
IDH3B	5460	4155
IDH3G	2943	2144
IDI1	3686	1893
IDI2	1	0
IDNK	90	547
IDO1	115	108
IDO2	0	1
IDS	346	428
IDUA	299	340
IER2	2514	784
IER3	1329	135
IER3IP1	1401	1386
IER5	1101	1169
IER5L	487	258
IFFO1	435	1062
IFFO2	2236	1893
IFI16	8125	6271
IFI27	15232	6792
IFI27L1	275	460
IFI27L2	694	878
IFI30	6	1
IFI35	2022	1276
IFI44	2579	1451
IFI44L	3482	2762
IFI6	22824	3205
IFIH1	4454	1455
IFIT1	3742	3555
IFIT1B	1	1
IFIT2	1589	1639
IFIT3	2825	2342
IFIT5	969	1528
IFITM1	3664	3146
IFITM10	168	10
IFITM2	3124	6237
IFITM3	37770	17445
IFITM5	0	0
IFNA1	0	0
IFNA10	1	0
IFNA13	0	0
IFNA14	2	0
IFNA16	1	0
IFNA17	1	0
IFNA2	0	0
IFNA21	15	1
IFNA4	0	0
IFNA5	4	0
IFNA6	0	0
IFNA7	2	0
IFNA8	0	0
IFNAR1	4452	8277
IFNAR2	102	44
IFNB1	10	0
IFNE	2	3
IFNG	0	5
IFNGR1	2682	8932
IFNGR2	4936	4616
IFNK	0	1
IFNL1	46	0
IFNL2	11	0
IFNL3	19	0
IFNL4	8	1
IFNLR1	353	134
